Regiao,Estado
Norte,Acre
Norte,Amapá
Norte,Amazonas
Norte,Pará
Norte,Rondônia
Norte,Roraima
Norte,Tocantins
Nordeste,Alagoas
Nordeste,Bahia
Nordeste,Ceará
Nordeste,Maranhão
Nordeste,Paraíba
Nordeste,Pernambuco
Nordeste,Piauí
Nordeste,Rio Grande do Norte
Nordeste,Sergipe
Centro-Oeste,Distrito Federal
Centro-Oeste,Goiás
Centro-Oeste,Mato Grosso
Centro-Oeste,Mato Grosso do Sul
Sudeste,Espírito Santo
Sudeste,Minas Gerais
Sudeste,Rio de Janeiro
Sudeste,São Paulo
Sul,Paraná
Sul,Rio Grande do Sul
Sul,Santa Catarina
