published_university,University_name
UNIVERSIDADE FEDERAL DO AGRESTE DE PERNAMBUCO,UNIVERSIDADE FEDERAL DO AGRESTE DE PERNAMBUCO
UNIVERSIDADE FEDERAL DA PARAÍBA,UNIVERSIDADE FEDERAL DA PARAÍBA
"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SÃO PAULO","INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SÃO PAULO"
UNIVERSIDADE FEDERAL DE LAVRAS,UNIVERSIDADE FEDERAL DE LAVRAS
UNIVERSIDADE FEDERAL DO RECÔNCAVO DA BAHIA,UNIVERSIDADE FEDERAL DO RECÔNCAVO DA BAHIA
UNIVERSIDADE ESTADUAL DE FEIRA DE SANTANA,UNIVERSIDADE ESTADUAL DE FEIRA DE SANTANA
UNIVERSIDADE FEDERAL DE SANTA MARIA,UNIVERSIDADE FEDERAL DE SANTA MARIA
UNIVERSIDADE FEDERAL DO SUL E SUDESTE DO PARÁ,UNIVERSIDADE FEDERAL DO SUL E SUDESTE DO PARÁ
UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL
UNIVERSIDADE ESTADUAL DO CENTRO OESTE,UNIVERSIDADE ESTADUAL DO CENTRO OESTE
UNIVERSIDADE FEDERAL DA INTEGRAÇÃO LATINO-AMERICANA,UNIVERSIDADE FEDERAL DA INTEGRAÇÃO LATINO-AMERICANA
UNIVERSIDADE FEDERAL DE SERGIPE,UNIVERSIDADE FEDERAL DE SERGIPE
UNIVERSIDADE FEDERAL RURAL DA AMAZÔNIA,UNIVERSIDADE FEDERAL RURAL DA AMAZÔNIA
UNIVERSIDADE DO ESTADO DA BAHIA,UNIVERSIDADE DO ESTADO DA BAHIA
"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO TOCANTINS","INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO TOCANTINS"
UNIVERSIDADE FEDERAL DE UBERLÂNDIA,UNIVERSIDADE FEDERAL DE UBERLÂNDIA
"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO ESPÍRITO SANTO","INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO ESPÍRITO SANTO"
UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO
"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO RIO GRANDE DO NORTE","INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO RIO GRANDE DO NORTE"
