CÓD. IES,NOME IES
1,UNIVERSIDADE FEDERAL DE MATO GROSSO
4,UNIVERSIDADE FEDERAL DO AMAZONAS
5,UNIVERSIDADE FEDERAL DO PIAUÍ
26,ESCOLA NACIONAL DE CIÊNCIAS ESTATÍSTICAS
107,UNIVERSIDADE FEDERAL DE SÃO JOÃO DEL REI
548,UNIVERSIDADE FEDERAL DO MARANHÃO
574,UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO
587,UNIVERSIDADE FEDERAL RURAL DE PERNAMBUCO
588,UNIVERSIDADE TECNOLÓGICA FEDERAL DO PARANÁ
589,UNIVERSIDADE FEDERAL RURAL DO SEMI-ÁRIDO
591,UNIVERSIDADE FEDERAL DE SÃO PAULO
592,UNIVERSIDADE FEDERAL DE LAVRAS
593,CENTRO FEDERAL DE EDUCAÇÃO TECNOLÓGICA CELSO SUCKOW DA FONSECA
595,UNIVERSIDADE FEDERAL DE ALFENAS
596,UNIVERSIDADE FEDERAL DOS VALES DO JEQUITINHONHA E MUCURI
598,UNIVERSIDADE FEDERAL DE ITAJUBÁ - UNIFEI
599,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DA BAHIA"
600,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO MARANHÃO"
601,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO RIO GRANDE DO SUL"
634,UNIVERSIDADE FEDERAL DE PELOTAS
693,UNIVERSIDADE FEDERAL DO ESTADO DO RIO DE JANEIRO
699,FUNDAÇÃO UNIVERSIDADE FEDERAL DE RONDÔNIA
717,FUNDAÇÃO UNIVERSIDADE FEDERAL DE CIÊNCIAS DA SAÚDE DE PORTO ALEGRE
1027,UNIVERSIDADE ESTADUAL DO NORTE FLUMINENSE DARCY RIBEIRO
1082,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO RIO GRANDE DO NORTE"
1120,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA FLUMINENSE"
1166,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DA PARAÍBA"
1303,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA GOIANO"
1808,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO ESPÍRITO SANTO"
1810,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SÃO PAULO"
1811,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE GOIÁS"
1813,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO PARÁ"
1820,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO PIAUÍ"
3160,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE ALAGOAS"
3162,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SANTA CATARINA"
3163,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO RIO DE JANEIRO"
3165,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO TRIÂNGULO MINEIRO"
3183,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SERGIPE"
3184,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE RORAIMA"
3188,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO NORTE DE MINAS GERAIS"
3279,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO SUDESTE DE MINAS GERAIS"
3849,FUNDAÇÃO UNIVERSIDADE FEDERAL DO TOCANTINS
3984,FUNDAÇÃO UNIVERSIDADE FEDERAL DO VALE DO SÃO FRANCISCO
4098,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA FARROUPILHA"
4503,UNIVERSIDADE FEDERAL DO RECÔNCAVO DA BAHIA
4786,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO TOCANTINS"
4925,FUNDAÇÃO UNIVERSIDADE FEDERAL DO ABC
5036,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA CATARINENSE"
5322,FUNDAÇÃO UNIVERSIDADE FEDERAL DO PAMPA - UNIPAMPA
14408,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIENCIA E TECNOLOGIA DE BRASILIA"
14509,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA BAIANO"
8,UNIVERSIDADE FEDERAL DE VIÇOSA
17,UNIVERSIDADE FEDERAL DE UBERLÂNDIA
32,UNIVERSIDADE ESTADUAL DE CIÊNCIAS DA SAÚDE DE ALAGOAS - UNCISAL
585,UNIVERSIDADE FEDERAL DE SANTA CATARINA
694,UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL
1807,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO CEARÁ"
3336,UNIVERSIDADE ESTADUAL DO RIO GRANDE DO SUL
4358,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO SUL DE MINAS GERAIS"
6,UNIVERSIDADE FEDERAL DE OURO PRETO
7,UNIVERSIDADE FEDERAL DE SÃO CARLOS
12,UNIVERSIDADE FEDERAL DO RIO GRANDE
40,UNIVERSIDADE DO ESTADO DA BAHIA
549,UNIVERSIDADE FEDERAL DO ACRE
570,UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE
571,UNIVERSIDADE FEDERAL DO PARANÁ
572,UNIVERSIDADE FEDERAL FLUMINENSE
576,UNIVERSIDADE FEDERAL DE JUIZ DE FORA
579,UNIVERSIDADE FEDERAL DA PARAÍBA
580,UNIVERSIDADE FEDERAL DE PERNAMBUCO
583,UNIVERSIDADE FEDERAL DO CEARÁ
584,UNIVERSIDADE FEDERAL DE GOIÁS
586,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO
594,CENTRO FEDERAL DE EDUCAÇÃO TECNOLÓGICA DE MINAS GERAIS
789,UNIVERSIDADE FEDERAL DE RORAIMA
1028,UNIVERSIDADE ESTADUAL DE MATO GROSSO DO SUL
1578,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA SUL-RIO-GRANDENSE"
1809,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE PERNAMBUCO"
1812,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO AMAZONAS"
3161,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO SERTÃO PERNAMBUCANO"
4785,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE RONDÔNIA"
5013,CENTRO UNIVERSITÁRIO ESTADUAL DA ZONA OESTE
14724,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO PARANÁ"
15507,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO ACRE"
15520,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE MATO GROSSO DO SUL"
15522,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO AMAPÁ"
582,UNIVERSIDADE FEDERAL DE SANTA MARIA
24,UNIVERSIDADE ESTADUAL DE SANTA CRUZ
550,UNIVERSIDADE ESTADUAL DA PARAÍBA
577,UNIVERSIDADE FEDERAL DE ALAGOAS
590,UNIVERSIDADE FEDERAL RURAL DA AMAZÔNIA
688,UNIVERSIDADE ESTADUAL DO SUDOESTE DA BAHIA
1357,FACULDADE DE EDUCAÇÃO TECNOLÓGICA DO ESTADO DO RIO DE JANEIRO - FAETERJ R DE JANEIRO
3164,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE MATO GROSSO"
3189,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE MINAS GERAIS"
5016,FACULDADE DE EDUCAÇÃO TECNOLÓGICA DO ESTADO DO RIO DE JANEIRO - FAETERJ R DE JANEIRO
5017,FACULDADE DE EDUCAÇÃO TECNOLÓGICA DO ESTADO DO RIO DE JANEIRO - FAETERJ PETRÓPOLIS
5018,INSTITUTO SUPERIOR DE EDUCAÇÃO PROFESSOR ALDO MUYLAERT
5053,FACULDADE DE EDUCAÇÃO TECNOLÓGICA DO ESTADO DO RIO DE JANEIRO - FAETERJ PARACAMBI
15497,UNIVERSIDADE DA INTEGRAÇÃO INTERNACIONAL DA LUSOFONIA AFRO-BRASILEIRA
719,UNIVERSIDADE DO ESTADO DE MATO GROSSO
756,UNIVERSIDADE ESTADUAL DO PIAUÍ
829,UNIVERSIDADE DO TOCANTINS
1036,UNIVERSIDADE DO ESTADO DE MINAS GERAIS
4785,INSTITUTO FEDERAL DE EDUCAÇÃO CIÊNCIA E TECNOLOGIA DE RONDÔNIA
1166,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA  DA PARAÍBA"
3165,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA  DO TRIÂNGULO MINEIRO"
573,UNIVERSIDADE FEDERAL DO ESPÍRITO SANTO
2,UNIVERSIDADE DE BRASÍLIA
3,UNIVERSIDADE FEDERAL DE SERGIPE
43,FUNDAÇÃO UNIVERSIDADE DO ESTADO DE SANTA CATARINA
46,FACULDADE ESTADUAL DE CIÊNCIAS ECONÔMICAS DE APUCARANA
569,UNIVERSIDADE FEDERAL DO PARÁ
575,UNIVERSIDADE FEDERAL DE MINAS GERAIS
578,UNIVERSIDADE FEDERAL DA BAHIA
597,UNIVERSIDADE FEDERAL DO TRIÂNGULO MINEIRO
609,UNIVERSIDADE ESTADUAL DO OESTE DO PARANÁ
830,UNIVERSIDADE FEDERAL DO AMAPÁ
4504,FUNDAÇÃO UNIVERSIDADE FEDERAL DA GRANDE DOURADOS
15001,UNIVERSIDADE FEDERAL DA INTEGRAÇÃO LATINO-AMERICANA
15121,UNIVERSIDADE FEDERAL DA FRONTEIRA SUL
18440,UNIVERSIDADE FEDERAL DO SUL E SUDESTE DO PARÁ
2564,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE
18506,UNIVERSIDADE FEDERAL DO OESTE DA BAHIA
18759,UNIVERSIDADE FEDERAL DO CARIRI
18812,UNIVERSIDADE FEDERAL DO SUL DA BAHIA
29,UNIVERSIDADE ESTADUAL DO CEARÁ
71,UNIVERSIDADE DO ESTADO DO RIO GRANDE DO NORTE
581,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL
1126,UNIVERSIDADE ESTADUAL DO CENTRO OESTE
5020,FACULDADE DE EDUCAÇÃO TECNOLÓGICA DO ESTADO DO RIO DE JANEIRO - FAETERJ
5021,FACULDADE DE EDUCAÇÃO TECNOLÓGICA DO ESTADO DO RIO DE JANEIRO - FAETERJ
5051,FACULDADE DE EDUCAÇÃO TECNOLÓGICA DO ESTADO DO RIO DE JANEIRO - FAETERJ
5052,FACULDADE DE EDUCAÇÃO TECNOLÓGICA DO ESTADO DO RIO DE JANEIRO - FAETERJ TRÊS RIOS
15015,UNIVERSIDADE ESTADUAL DO NORTE DO PARANÁ
18492,UNIVERSIDADE ESTADUAL DO PARANÁ
409,UNIVERSIDADE DE PERNAMBUCO
3223,ESCOLA SUPERIOR DE CIÊNCIAS DA SAÚDE
5016,FACULDADE DE EDUCAÇÃO TECNOLÓGICA DO ESTADO DO RIO DE JANEIRO - FAETERJ
5017,FACULDADE DE EDUCAÇÃO TECNOLÓGICA DO ESTADO DO RIO DE JANEIRO - FAETERJ - FAETERJ PETRÓPOLIS
3162,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA  DE SANTA CATARINA"
1812,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA  DO AMAZONAS"
1357,INSTITUTO SUPERIOR DE EDUCAÇÃO DO RIO DE JANEIRO
55,UNIVERSIDADE DE SÃO PAULO
5242,UNIVERSIDADE ESTADUAL DE ALAGOAS - UNEAL
9,UNIVERSIDADE ESTADUAL DE LONDRINA
367,UNIVERSIDADE ESTADUAL DE MONTES CLAROS
5017,FACULDADE DE EDUCAÇÃO TECNOLÓGICA DO ESTADO DO RIO DE JANEIRO - FAETERJ
5053,FACULDADE DE EDUCAÇÃO TECNOLÓGICA DO ESTADO DO RIO DE JANEIRO
19588,Faculdade de Educação Tecnológica do Estado do Rio de Janeiro
1876,FACULDADE MUNICIPAL PROFESSOR FRANCO MONTORO DE MOGI GUAÇU
666,UNIVERSIDADE ESTADUAL DE FEIRA DE SANTANA
23725,Escola Superior de Gestão
21503,COLÉGIO PEDRO II
719,Universidade do Estado de Mato Grosso Carlos Alberto Reyes Maldonado - UNEMAT
25277,UNIVERSIDADE FEDERAL DO DELTA DO PARNAIBA
829,UNIVERSIDADE ESTADUAL DO TOCANTINS
25274,UNIVERSIDADE FEDERAL DE CATALÃO
25352,Universidade Federal de Rondonópolis
25275,UNIVERSIDADE FEDERAL DO AGRESTE DE PERNAMBUCO
25282,UNIVERSIDADE FEDERAL DE JATAÍ
5016,FACULDADE DE EDUCAÇÃO TECNOLÓGICA DO ESTADO DO RIO DE JANEIRO FERNANDO MOTA
431,FACULDADE DE MEDICINA DE MARÍLIA
22015,Faculdade Municipal de Educação e Meio Ambiente
57,UNIVERSIDADE ESTADUAL DE MARINGÁ
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
